駆け寄っ,駆け寄る
在っ,在る
蒔い,蒔く
透き通っ,透き通る
言い残し,言い残す
連れ出し,連れ出す
鈍っ,鈍る
群がっ,群がる
渦巻い,渦巻く
追いやっ,追いやる
見晴らし,見晴らす
晴らし,晴らす
遺し,遺す
聞き出し,聞き出す
映し出し,映し出す
聞き流し,聞き流す
乾かし,乾かす
探し回っ,探し回る
立ち入っ,立ち入る
付き添っ,付き添う
切り替わっ,切り替わる
散らかっ,散らかる
締めくくっ,締めくくる
絶っ,絶つ
巻き返し,巻き返す
剥き出し,剥き出す
引っ込ん,引っ込む
縮ん,縮む
目論ん,目論む
会し,会す
嗅い,嗅ぐ
冷やかし,冷やかす
決め込ん,決め込む
来たし,来たす
持ち寄っ,持ち寄る
振りかざし,振りかざす
醸し,醸す
引き締まっ,引き締まる
持て余し,持て余す
逢っ,逢う
口ずさん,口ずさむ
乱し,乱す
割り出し,割り出す
企ん,企む
使い切っ,使い切る
手間取っ,手間取る
果し,果す
鳴り響い,鳴り響く
言い張っ,言い張る
縮まっ,縮まる
振り切っ,振り切る
突き放し,突き放す
散らかし,散らかす
濁し,濁す
挟まっ,挟まる
悔やん,悔やむ
繰返し,繰返す
滅ん,滅ぶ
肥やし,肥やす
適っ,適う
為し,為す
振り絞っ,振り絞る
可愛がっ,可愛がる
言い返し,言い返す
呼び起こし,呼び起こす
切り落とし,切り落とす
食い込ん,食い込む
起き出し,起き出す
彫っ,彫る
思い直し,思い直す
倣っ,倣う
透かし,透かす
弾ん,弾む
付け足し,付け足す
甘やかし,甘やかす
形作っ,形作る
勝ち抜い,勝ち抜く
逃げ込ん,逃げ込む
突き刺し,突き刺す
勝ち越し,勝ち越す
吹き飛ばし,吹き飛ばす
居座っ,居座る
注ぎ込ん,注ぎ込む
寝転がっ,寝転がる
跳ね返っ,跳ね返る
濡らし,濡らす
吹き飛ん,吹き飛ぶ
勇ん,勇む
卸し,卸す
書き残し,書き残す
廻し,廻す
漁っ,漁る
聞き入っ,聞き入る
塞い,塞く
掘り出し,掘り出す
過し,過す
取りかかっ,取りかかる
問いただし,問いただす
話し込ん,話し込む
侵し,侵す
降り続い,降り続く
襲いかかっ,襲いかかる
行き渡っ,行き渡る
抱きつい,抱きつく
冒し,冒す
孕ん,孕む
包み込ん,包み込む
繰り越し,繰り越す
書き記し,書き記す
舞い込ん,舞い込む
発っ,発つ
気づかっ,気づかう
出合っ,出合う
走り去っ,走り去る
染み付い,染み付く
曲がりくねっ,曲がりくねる
来し,来す
洗い流し,洗い流す
囲っ,囲う
仕組ん,仕組む
暴い,暴く
差し掛かっ,差し掛かる
解き明かし,解き明かす
降りかかっ,降りかかる
締まっ,締まる
流れ出し,流れ出す
愚痴っ,愚痴る
行き詰っ,行き詰る
染み込ん,染み込む
茂っ,茂る
取組ん,取組む
霞ん,霞む
生みだし,生みだす
踏ん張っ,踏ん張る
揉ん,揉む
助け合っ,助け合う
引っ掛かっ,引っ掛かる
起き上がっ,起き上がる
拠っ,拠る
突き刺さっ,突き刺さる
佇ん,佇む
成り下がっ,成り下がる
息づい,息づく
甦っ,甦る
分け合っ,分け合う
信じ込ん,信じ込む
忍び込ん,忍び込む
割り引い,割り引く
住み着い,住み着く
伝っ,伝う
尽し,尽す
愛し合っ,愛し合う
剃っ,剃る
祀っ,祀る
見開い,見開く
売り込ん,売り込む
浮き上がっ,浮き上がる
流し込ん,流し込む
凍りつい,凍りつく
打ち切っ,打ち切る
奥まっ,奥まる
羽織っ,羽織る
着込ん,着込む
這っ,這う
拘っ,拘う
伸び悩ん,伸び悩む
歩み寄っ,歩み寄る
早まっ,早まる
刈っ,刈る
渡り歩い,渡り歩く
売れ残っ,売れ残る
紛れ込ん,紛れ込む
飛び乗っ,飛び乗る
使い込ん,使い込む
差し戻し,差し戻す
生やし,生やす
口走っ,口走る
切り込ん,切り込む
喰らっ,喰らう
遅し,遅す
添っ,添う
煮やし,煮やす
取り掛かっ,取り掛かる
潜り込ん,潜り込む
焼き付い,焼き付く
拝ん,拝む
纏っ,纏う
怖がっ,怖がる
治まっ,治まる
結び付い,結び付く
罹っ,罹る
動きだし,動きだす
立ち尽くし,立ち尽くす
穿い,穿く
込み入っ,込み入る
投げ込ん,投げ込む
出逢っ,出逢う
思い知っ,思い知る
澄まし,澄ます
打ち消し,打ち消す
引き込ん,引き込む
生き返っ,生き返る
阻ん,阻む
選び出し,選び出す
立ちはだかっ,立ちはだかる
飛び上がっ,飛び上がる
書き写し,書き写す
静まり返っ,静まり返る
年取っ,年取る
涙ぐん,涙ぐむ
出揃っ,出揃う
納まっ,納まる
立ち返っ,立ち返る
表立っ,表立つ
跳ん,跳ぶ
諭し,諭す
追い抜い,追い抜く
出尽くし,出尽くす
色づい,色づく
飛び散っ,飛び散る
翻し,翻す
裁い,裁く
依っ,依る
着飾っ,着飾る
立ち並ん,立ち並ぶ
連れ立っ,連れ立つ
噴き出し,噴き出す
掻い,掻く
取りだし,取りだす
踏みにじっ,踏みにじる
括っ,括る
絡まっ,絡まる
超し,超す
併せ持っ,併せ持つ
賭し,賭す
射し,射す
辞し,辞す
証し,証す
先走っ,先走る
凝り固まっ,凝り固まる
滅入っ,滅入る
滑り出し,滑り出す
溜め込ん,溜め込む
引き延ばし,引き延ばす
宿し,宿す
買戻し,買戻す
和らい,和らぐ
苛立っ,苛立つ
売り払っ,売り払う
到っ,到る
畳ん,畳む
引き戻し,引き戻す
威張っ,威張る
打ち破っ,打ち破る
重なり合っ,重なり合う
構っ,構う
勝ち残っ,勝ち残る
係わっ,係わる
渋っ,渋る
寝転ん,寝転ぶ
刷っ,刷る
召し上がっ,召し上がる
捨て去っ,捨て去る
執っ,執る
隠し持っ,隠し持つ
座し,座す
駆け回っ,駆け回る
嵌っ,嵌る
賄っ,賄う
思い付い,思い付く
煩わし,煩わす
断ち切っ,断ち切る
因ん,因む
取り締まっ,取り締まる
圧し,圧す
出し切っ,出し切る
皮肉っ,皮肉る
引き伸ばし,引き伸ばす
送り返し,送り返す
競い合っ,競い合う
寝過ごし,寝過ごす
口説い,口説く
焚い,焚く
考え抜い,考え抜く
没し,没す
感じとっ,感じとる
積み込ん,積み込む
冷まし,冷ます
欲張っ,欲張る
移り変わっ,移り変わる
追い払っ,追い払う
点い,点く
乗っ取っ,乗っ取る
奢っ,奢る
灯し,灯す
乗り回し,乗り回す
花開い,花開く
澄み切っ,澄み切る
偲ん,偲ぶ
知れ渡っ,知れ渡る
温まっ,温まる
