ジッシュウ	実習
シタシイ	親しい
シンニチ	親日
サイシュ	採取
タノミ	頼み
マナツ	真夏
フルホン	古本
ギンガ	銀河
コヅカイ	小遣い
ヒトカゲ	人影
ジキュウ	時給
ショニンキュウ	初任給
メイジル	命じる
メイチュウ	命中
オクナイ	屋内
チュウト	中途
ブンリョウ	分量
ベンロン	弁論
ギボ	義母
サンフジンカ	産婦人科
ネイロ	音色
クロイ	黒い
ボウカ	防火
ヒバナ	火花
ブンルイ	分類
アウ	会う
ムゾウサ	無造作
イセイ	異性
カンキン	監禁
シゼンカガク	自然科学
ルス	留守
アゲル	挙げる
テイケイ	定型
ケン	券
テイデン	停電
セキドウ	赤道
フリカエル	振り返る
ナイリク	内陸
マヨナカ	真夜中
サクヤ	昨夜
ユウベ	昨夜
チョウダイ	長大
デンゲン	電源
シオクリ	仕送り
アイチャク	愛着
アシオト	足音
ボウオン	防音
モウス	申す
マルイ	丸い
ユビワ	指輪
テッキン	鉄筋
センコク	宣告
ユイゴン	遺言
ショジョ	処女
ツキヒ	月日
マチナミ	町並み
アツイ	熱い
ミゼン	未然
ワシツ	和室
ミセイネン	未成年
シュクダイ	宿題
シュクメイ	宿命
ウツス	写す
キカ	帰化
ナガイキ	長生き
マウ	舞う
ランヨウ	乱用
ツラネル	連ねる
マツジツ	末日
ライキャク	来客
オリモノ	織物
カザムキ	風向き
ブンサン	分散
ショカ	初夏
ゴクラク	極楽
ソシツ	素質
アンピ	安否
コイ	故意
ウンガ	運河
フウセン	風船
ヨウガ	洋画
リョウジカン	領事館
ゼンイ	善意
マンメン	満面
ホンヤ	本屋
コンヤク	婚約
テイキアツ	低気圧
エンゲイ	園芸
キョヨウ	許容
コンジョウ	根性
マチノゾム	待ち望む
キンイロ	金色
コンジキ	金色
フロク	付録
セイテツ	製鉄
キンパク	緊迫
クルシイ	苦しい
クルシメル	苦しめる
フミキリ	踏切
ユウエキ	有益
ショウチ	承知
カオイロ	顔色
センニュウカン	先入観
ハヤイ	速い
ヒニヒニ	日に日に
ジュンバン	順番
ショウニカ	小児科
タヨリ	便り
ヒトダカリ	人だかり
アマル	余る
ホリュウ	保留
カキトメ	書留
テイキケン	定期券
オウサマ	王様
フカイ	深い
ジュヨ	授与
ヘンジョウ	返上
コウフク	幸福
ヒョウシキ	標識
コンダテ	献立
ネンチョウ	年長
ヤケイ	夜景
マナブ	学ぶ
キビシイ	厳しい
キキメ	効き目
キゲン	起源
ハキョク	破局
サイシ	妻子
ヘンニュウ	編入
ジメイ	自明
シュウリョウ	修了
ナカツギ	中継ぎ
トチョウ	都庁
アリサマ	有り様
ネラウ	狙う
イットウ	１等
ヨビダス	呼び出す
ヨビナ	呼び名
シュウネン	執念
カヤク	火薬
ハンガ	版画
ヤッキョク	薬局
